refund_txn_id,order_id,refunded_amount,refund_processed_date,gateway_reference
rtxn_300020,order_100020,"4,999.00",2026-07-06,GWREF0385813D
rtxn_300037,order_100037,3500.00,2026-06-21,GWREFABE89873
rtxn_300007,order_100007,"INR 2,000.00",2026-07-02,GWREF772A0770
rtxn_300045,order_100045,"10,000.00",2026-06-21,GWREF35ADF9C1
rtxn_300030,order_100030,7999.00,2026-07-12,GWREFD82F01B7
rtxn_300016,order_100016,"INR 2,000.00",2026-07-20,GWREFD810A485
rtxn_300005,order_100005,"INR 12,609.03",15-Jul-2026,GWREF964B50AF
rtxn_300051,order_100051,4999.00,17-Jun-2026,GWREF42F8AC2A
rtxn_300039,order_100039,999.00,09/06/2026,GWREFF309FFEA
rtxn_300021,order_100021,4999.50,2026-08-12,GWREF1D06BD2A
rtxn_300064,order_100064,499.50,2026-06-14,GWREF19E01FCD
rtxn_300042,order_100042,1499.00,2026-06-20,GWREFE2786D37
rtxn_300050,order_100050,2000.00,2026-07-03,GWREFAFCC4F14
rtxn_300027,order_100027,999.00,01/08/2026,GWREFED16DC0C
rtxn_300022,order_100022,5000.00,2026-07-13,GWREFC946DC59
rtxn_300059,order_100059,"2,499.50",2026-07-10,GWREFE9D34119
rtxn_300053,order_100053,199.00,2026-07-15,GWREFD5552C7F
rtxn_300065,order_100065,"15,000.00",2026-08-13,GWREF8AC9ED33
rtxn_300049,order_100049,2999.50,2026-07-19,GWREFF4EFBACE
rtxn_300048,order_100048,"INR 12,999.00",2026-07-05,GWREFFF7E4C64
rtxn_300006,order_100006,775.03,2026-08-11,GWREFF244F58D
rtxn_300013,order_100013,2424.99,2026-08-11,GWREFA86A78C4
rtxn_300054,order_100054,INR 999.00,23/07/2026,GWREF952EB9D8
rtxn_300035,order_100035,12999.99,2026-07-08,GWREFF6B8A880
rtxn_300061,order_100061,"INR 5,999.00",2026-07-21,GWREFB1C863E2
rtxn_300034,order_100034,"9,999.00",17-Jul-2026,GWREFED8A728E
rtxn_300025,order_100025,199.00,2026-08-16,GWREF3E4EAEDE
rtxn_300038,order_100038,"INR 4,849.03",2026-07-25,GWREF93697B59
rtxn_300062,order_100062,199.00,05-Aug-2026,GWREF67A40844
rtxn_300004,order_100004,"1,500.00",2026-08-11,GWREF8038A39D
rtxn_300003,order_100003,2500.00,25/07/2026,GWREFB74F2134
rtxn_300040,order_100040,299.00,01/09/2026,GWREF1449273D
rtxn_300057,order_100057,3499.00,2026-07-27,GWREF858F9A3E
rtxn_300018,order_100018,"5,819.03",2026-08-10,GWREF4755D05A
rtxn_300012,order_100012,300.00,2026-08-15,GWREF125227C3
rtxn_300044,order_100044,290.52,2026-07-25,GWREF0815FE85
rtxn_300011,order_100011,1999.50,2026-07-04,GWREF9DF46961
rtxn_300041,order_100041,"7,999.50",2026-06-25,GWREF36682575
rtxn_300019,order_100019,"2,499.00",2026-08-07,GWREF6EB97706
rtxn_300023,order_100023,199.00,2026-06-23,GWREFEE6F529A
rtxn_300024,order_100024,"2,425.00",2026-07-24,GWREF2ED6CFC7
rtxn_300063,order_100063,2909.03,2026-08-19,GWREFA05814D3
rtxn_300056,order_100056,"INR 3,394.03",2026-07-21,GWREF4319E1B4
rtxn_300014,order_100014,12999.00,2026-06-21,GWREF684B27B9
rtxn_300001,order_100001,2424.03,23-Jun-2026,GWREF82575EC8
rtxn_300009,order_100009,799.00,2026-08-05,GWREF31CA3766
rtxn_300033,order_100033,799.99,2026-06-29,GWREFA0DF3DBE
rtxn_300028,order_100028,INR 199.00,2026-06-30,GWREF7F78DF0C
rtxn_300015,order_100015,12999.99,2026-06-20,GWREF34833489
rtxn_300032,order_100032,1499.99,07-Aug-2026,GWREF09CC6273
rtxn_300047,order_100047,"INR 1,999.00",2026-07-13,GWREF07590D27
rtxn_300043,order_100043,2999.00,12/08/2026,GWREFE3E9C8FE
rtxn_300010,order_100010,999.50,2026-06-22,GWREF310275DF
rtxn_300017,order_100017,12999.99,2026-09-05,GWREF1B4D419B
rtxn_300052,order_100052,"INR 7,999.00",2026-06-20,GWREF972D33E5
