case_no,promise_id,refund_txn_id,crm_order_id,gateway_order_id,label,promised_amount,true_refunded_amount,promise_date,window_end_days,refund_processed_date
1,PRM-200001,rtxn_300001,ORD100001,order_100001,partial,2499.00,2424.03,2026-06-19,8,2026-06-23
2,PRM-200002,,ORD100002,order_100002,no_refund,4999.00,,2026-07-07,5,
3,PRM-200003,rtxn_300003,ORD100003,order_100003,clean_match,2500.00,2500.00,2026-07-14,11,2026-07-25
4,PRM-200004,rtxn_300004,ORD100004,order_100004,clean_match,1500.00,1500.00,2026-08-08,9,2026-08-11
5,PRM-200005,rtxn_300005,ORD100005,order_100005,partial,12999.00,12609.03,2026-07-14,11,2026-07-15
6,PRM-200006,rtxn_300006,ORD100006,order_100006,partial,799.00,775.03,2026-08-09,7,2026-08-11
7,PRM-200007,rtxn_300007,ORD100007,order_100007,clean_match,2000.00,2000.00,2026-06-30,8,2026-07-02
8,PRM-200008,,ORD100008,order_100008,no_refund,299.00,,2026-07-05,5,
9,PRM-200009,rtxn_300009,ORD100009,order_100009,delayed,799.00,799.00,2026-07-02,10,2026-08-05
10,PRM-200010,rtxn_300010,ORD100010,order_100010,clean_match,999.50,999.50,2026-06-18,6,2026-06-22
11,PRM-200011,rtxn_300011,ORD100011,order_100011,clean_match,1999.50,1999.50,2026-06-29,5,2026-07-04
12,PRM-200012,rtxn_300012,ORD100012,order_100012,clean_match,300.00,300.00,2026-08-10,7,2026-08-15
13,PRM-200013,rtxn_300013,ORD100013,order_100013,partial,2499.99,2424.99,2026-08-06,9,2026-08-11
14,PRM-200014,rtxn_300014,ORD100014,order_100014,clean_match,12999.00,12999.00,2026-06-19,5,2026-06-21
15,PRM-200015,rtxn_300015,ORD100015,order_100015,clean_match,12999.99,12999.99,2026-06-10,10,2026-06-20
16,PRM-200016,rtxn_300016,ORD100016,order_100016,clean_match,2000.00,2000.00,2026-07-14,7,2026-07-20
